Column A: Area of Focus,Expectation,Column B: Weight,Column C: Glucose,Column D: Activity,Column E: Steps,Column F: Food,Column G: Sleep,Column H: Medications,Column I: Mental Well-being,Column J: Explore,Column K: Journey,Daily Message,Tester,Test Date,Clinical Coaching Appropriateness [LLM Judge],Clinical Coaching Appropriateness - Rationale [LLM Judge],Clinical Coaching Appropriateness,Clinical Coaching Appropriateness - Rationale,Tone & Approachability [LLM Judge],Tone & Approachability - Rationale [LLM Judge],Tone & Approachability,Tone & Approachability - Rationale,Reading Level [LLM Judge],Reading Level - Rationale [LLM Judge],Reading Level,Reading Level - Rationale,Neutrality [LLM Judge],Neutrality  - Rationale [LLM Judge],Neutrality ,Neutrality ,Message Completeness [LLM Judge],Message Completeness - Rationale [LLM Judge],Message Completeness,Message Completeness - Rationale,Message Length Appropriateness [LLM Judge],Message Length Appropriateness [LLM Judge],Message Length Appropriateness,Message Length Appropriateness - Rationale,Language Variety & Flow [LLM Judge],Language Variety & Flow - Rationale [LLM Judge],Language Variety & Flow,Language Variety & Flow - Rationale,Response Structure [LLM Judge],Response Structure - Rationale [LLM Judge],Response Structure,Response Structure - Rationale,Spelling & Punctuation [LLM Judge],Spelling & Punctuation - Rationale [LLM Judge],Spelling & Punctuation,Spelling & Punctuation - Rationale,Medical Terminology [LLM Judge],Medical Terminology - Rationale [LLM Judge],Medical Terminology,Medical Terminology - Rationale,Numerical Calculation Accuracy [LLM Judge],Numerical Calculation Accuracy - Rationale [LLM Judge],Numerical Calculation Accuracy ,Numerical Calculation Accuracy - Rationale
Weight focus (1),Only include items related to focus in message,Weight loss goal: logged & decreased,No CGM,Logged active minutes,Logged >= 10000 steps,Logged at least one meal,Slept >= 7 hours,Took all meds,Opened a meditation,Read an article,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight focus (2),Only include items related to focus in message,Weight maintenance: +/-3% goal,DM (A1C <8): TIR >= 50%,Did not log active minutes,Logged more steps,Reached 90-110% target,Slept > prev day,Taken < 50% meds,Made a journal entry,Watched Learn video,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight focus (3),Only include items related to focus in message,No weight entry > 6 days,DIP User: TIR >= 70%,Logged active min >= prev day,"Avg steps < 6,000",Generated AI meal plan,Slept >= 7h & Rating >= 7,Taken 50-99% meds,Progress on Action Plan,Completed lesson,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight focus (4),Only include items related to focus in message,No goal: logged & decreased,Non-DM User: TIR >= 90%,Completed 90% video,Steps 6k-9.9k & decreased,Logged food prev day,Slept >= 7h & Rating > prev,Took all meds,No meditation 1 month,No content opened,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight focus (5),Only include items related to focus in message,No goal: logged & increased,No CGM,Started exercise program,Logged >= 10000 steps,No log yesterday/month,Avg duration >= 7h & Rating >= 7,No meds on Med List,No Action Plan progress,Did not read article,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glucose focus (1),Only include items related to focus in message,Weight loss goal: logged & increased,DM (A1C <7): TIR <70% + No meals,Total activity < 150 min,Logged more steps,Has target; not meeting,Avg duration < 7h,Taken 50-99% meds,No journal 1 month,Did not watch video,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glucose focus (2),Only include items related to focus in message,Weight maintenance: >3% goal,DM (A1C <7): TIR <70% + No meds,Met 150 min goal in last month but not last week,"Avg steps < 6,000",Did not log yesterday (month ok),Avg duration >= 7h; Rating < 7,Took all meds,Took no actions,No curriculum lesson,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glucose focus (3),Only include items related to focus in message,No weight entry > 6 days,DM User (A1C <7): TIR < 70%,Active program: uncompleted,Steps 6k-9.9k & decreased,Logged at least one meal,No sleep entries,Taken < 50% meds,Opened a meditation,Read an article,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glucose focus (4),Only include items related to focus in message; encourage user to log meals,No goal: logged & decreased,DM (A1C <8): TIR <50% + No meals,Logged active minutes,Logged >= 10000 steps,Did not log yesterday (month ok),Slept >= 7 hours,Took all meds,Made a journal entry,Watched Learn video,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glucose focus (5),Only include items related to focus in message; encourage user to take meds,Weight loss goal: logged & decreased,DM (A1C <8): TIR <50% + No meds,Did not log active minutes,Logged more steps,Generated AI meal plan,Slept > prev day,Taken 50-99% meds,Progress on Action Plan,Completed lesson,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity focus (1),Only include items related to focus in message,Weight maintenance: +/-3% goal,DM (A1C <8): TIR <50%,Logged active min >= prev day,"Avg steps < 6,000",Logged food prev day,Slept >= 7h & Rating >= 7,Taken < 50% meds,No meditation 1 month,No content opened,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity focus (2),Only include items related to focus in message; prompt user to implement strategies from week when they met 150 min,No weight entry > 6 days,DIP: TIR <70% + No meals,Met 150 min goal in last month but not last week,Steps 6k-9.9k & decreased,No log yesterday/month,Slept >= 7h & Rating > prev,Taken 50-99% meds,No Action Plan progress,Did not read article,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity focus (3),Only include items related to focus in message,No goal: logged & increased,DIP: TIR <70%,Started exercise program,Logged >= 10000 steps,Did not log yesterday (month ok),Avg duration >= 7h & Rating >= 7,Took all meds,No journal 1 month,Did not watch video,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity focus (4),Only include items related to focus in message; Include suggestion on how to be more active,Weight loss goal: logged & increased,Non-DM: TIR <90% + No meals,Total activity < 150 min,Logged more steps,Logged at least one meal,Avg duration < 7h,Taken < 50% meds,Took no actions,No curriculum lesson,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity focus (5),Only include items related to focus in message,Weight maintenance: >3% goal,Non-DM: TIR <90%,Met 150 min goal,"Avg steps < 6,000",Reached 90-110% target,Avg duration >= 7h; Rating < 7,Taken 50-99% meds,Opened a meditation,Read an article,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food focus (1),Only include items related to focus in message,No goal: logged & decreased,DM (A1C <7): High >25%,Active program: uncompleted,Steps 6k-9.9k & decreased,Generated AI meal plan,No sleep entries,Took all meds,Made a journal entry,Watched Learn video,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food focus (2),Only include items related to focus in message; encourage to log again today and to check food insights,Weight loss goal: logged & decreased,DM (A1C <8): High >50%,Logged active minutes,Logged >= 10000 steps,Logged food prev day,Slept >= 7 hours,Taken < 50% meds,Progress on Action Plan,Completed lesson,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food focus (3),Only include items related to focus in message; encouraging logging of all food and drinks,Weight maintenance: +/-3% goal,DIP: High >25%,Did not log active minutes,Logged more steps,Has target; not meeting,Slept > prev day,Taken 50-99% meds,No meditation 1 month,No content opened,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food focus (4),Only include items related to focus in message,No weight entry > 6 days,Non-DM: Above Target >5%,Logged active min >= prev day,"Avg steps < 6,000",Did not log yesterday (month ok),Slept >= 7h & Rating >= 7,Took all meds,No Action Plan progress,Did not read article,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food focus (5),Only include items related to focus in message,No goal: logged & increased,DM (A1C <7): Low/V-Low >4%,Completed 90% video,Steps 6k-9.9k & decreased,Logged at least one meal,Slept >= 7h & Rating > prev,Taken < 50% meds,No journal 1 month,Did not watch video,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep focus (1),Only include items related to focus in message; encourage continuing behaviors,Weight maintenance: >3% goal,DM (A1C <8): Low/V-Low >1%,Started exercise program,Logged >= 10000 steps,Reached 90-110% target,Avg duration >= 7h & Rating >= 7,Taken 50-99% meds,Took no actions,No curriculum lesson,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep focus (2),Only include items related to focus in message; offer sleep improvement suggestion,No goal: logged & decreased,DIP: Low/V-Low >5%,Total activity < 150 min,Logged more steps,Generated AI meal plan,Avg duration < 7h,Took all meds,Opened a meditation,Read an article,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep focus (3),Only include items related to focus in message; offer sleep improvement suggestion,Weight loss goal: logged & decreased,Non-DM: Low >1%,Met 150 min goal,"Avg steps < 6,000",Logged food prev day,Avg duration >= 7h; Rating < 7,Taken < 50% meds,Made a journal entry,Watched Learn video,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep focus (4),Only include items related to focus in message; encouraging logging sleep,No weight entry > 6 days,DM (A1C <7): TIR >= 70%,Active program: uncompleted,Steps 6k-9.9k & decreased,No log yesterday/month,No sleep entries,Taken 50-99% meds,Progress on Action Plan,Completed lesson,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep focus (5),Only include items related to focus in message,Weight loss goal: logged & increased,DM (A1C <8): TIR >= 50%,Logged active minutes,Logged >= 10000 steps,Did not log yesterday (month ok),Slept >= 7 hours,Took all meds,No meditation 1 month,No content opened,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anxiety focus (1),Only include items related to focus in message; encourage starting Action Plan,Weight maintenance: +/-3% goal,DIP User: TIR >= 70%,Did not log active minutes,Logged more steps,Logged at least one meal,Slept > prev day,Taken < 50% meds,No Action Plan progress,Did not read article,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anxiety focus (2),Only include items related to focus in message; suggest journaling,No weight entry > 6 days,Non-DM User: TIR >= 90%,Logged active min >= prev day,"Avg steps < 6,000",Reached 90-110% target,Slept >= 7h & Rating >= 7,Taken 50-99% meds,No journal 1 month,Did not watch video,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anxiety focus (3),Only include items related to focus in message; encourage doing something related to mental well-being,No goal: logged & increased,TIR improved from prev day,Completed 90% video,Steps 6k-9.9k & decreased,Generated AI meal plan,Slept >= 7h & Rating > prev,Took all meds,Took no actions,No curriculum lesson,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anxiety focus (4),Only include items related to focus in message,Weight loss goal: logged & decreased,DM (A1C <7): TIR <70% + No meals,Started exercise program,Logged >= 10000 steps,Logged food prev day,Avg duration >= 7h & Rating >= 7,Taken < 50% meds,Opened a meditation,Read an article,Completed task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anxiety focus (5),Only include items related to focus in message,Weight maintenance: >3% goal,DM (A1C <7): TIR <70% + No meds,Total activity < 150 min,Logged more steps,No log yesterday/month,Avg duration < 7h,Taken 50-99% meds,Made a journal entry,Watched Learn video,No journey task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medications focus (1),Only include items related to focus in message,No goal: logged & increased,DM User (A1C <7): TIR < 70%,Met 150 min goal,"Avg steps < 6,000",Did not log yesterday (month ok),Avg duration >= 7h; Rating < 7,Took all meds,Progress on Action Plan,Completed lesson,No active journey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
